Date;Type;Gear;Name;Dist_km;Elv_meter;Elapsed_Time;Moving_Time;Start_Time;Day_of_Week;Speed_km/h;MaxSpeed_km/h;Elv_High_meter;Elv_Low_meter;Temp_°C;Cal;Energy_KJ;Segs;PRs;Group_Size;Kudos;Comments;Photos;Private;Visibility;Dist_start_to_end_km;Description;Tiles_calculated;Device_App;Activity_Id
08/28/2021;Hike;; RtA, retourtje Punta Rocca;7.66;963;03:48:58;00:29:15;10:11:37;Saturday;15.7;62.3;3,137;1,433;18;776;;;;1;25;8;9;;Everyone;2.12;Past wel in het beeld van de RtA dat er weer geheel onbedoeld een geweldige attractie binnen handbereik (250 m. van het hotel) bleek te zijn 😋 :de kabelbaan naar het pas vorig jaar geopende panoramaplatform op 3265 m. Dat gaat in drie etappes: 2350, 2950 en 3265 meter, dus zes keer in een cabine om weer op 1450 meter uit te kunnen stappen. Spectaculair en vandaag ook nog eens erg rustig. Eerst ff taartje eten op 2950 meter omdat Roos vandaag jarig is 🎈🎉 en dan in het toilet alle extra onderkleding aantrekken want warm is anders. Verstandig, bij het bovenstation vriest het, het sneeuwt licht en, ook fijn, ik zie een alpenkauw! (gele snavel]. Helemaal happy dus, met m'n fietsschoenen in de sneeuw ⛄. Il museo Marmolada Grande Guerra 3000 m. heeft die toevoeging om aan te geven dat het het hoogste museum van Italië is 😄. Voor laaglanders extra aan te bevelen! Oh ja, eindelijk werd er een keer gevraagd naar de green pass, benodigd voor toegang tot het bergrestaurant en het museum. Voor buitenlanders is dit het Eu PLF document dat ik in Innsbruck had ingevuld en als PDF kreeg gemaild. Het werd in orde bevonden, gelukkig maar, want ik had het ticket al gekocht 😅.;;Garmin Edge 520 Plus;5866039005
08/27/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Malga Ciapela;55.27;1,603;06:29:19;03:38:12;10:50:16;Friday;15.2;60.8;2,103;1,014;17;2,338;1,806;31;11;1;33;5;8;;Everyone;19.95;Mooie klimdag met eindpunt in een hotel exact op het punt dat de Fedaiaklim aan de laatste zes km begint met een gemiddeld stijgingspercentage van .....11,3%! Het weer was nog steeds goed vandaag, gisteravond enige buitjes, maar aan mijn overdekte picknicktafel samen met twee aangeschoven Duitsers hun fles rode wijn opdrinkend, had ik daar geen last van. Een bijna Thomas Mann-achtige constructie, die vorige zin!😀 Op de Falzaregoklim wel koud als zon af- en wind aanwezig was. Afdaling daarom met beenwarmers, windbreker, regenjack, wintermuts en handschoenen: heerlijk! Fijne afdaling ook. Toen nog even Colle Santa Lucia opgestoomd waar ik zelfs inliep op een racefietser 😎. Ook afdaling van Selva di Cadore naar Caprile is mooi, langs een rivierbedding in een kloof vol keien. In het begin zo steil dat de remmen het serieus lastig kregen. En toen was het nog maar acht km, maar wel met ruim 500 hoogtemeters 😋, het was dan ook gewoon het begin van de Fedaia! Eerst nog te ver doorgereden, want het hotel heeft twee gebouwen, en ik zit in het onderste dus weer 500 meter terug. Een halve km à 10% heb ik al proef gereden. Morgen moet het koud worden, lekker niksdoen en als het zondag goed genoeg weer is dan ga ik een toppoging doen naar de Fedaia, van 1450 meter naar 2050 in krap zes km...😢 Het hotel is nogal gedateerd, hilarisch hoe de inrichting lijkt te bestaan uit ongezien opgekochte inboedels. En geen brand- of rookmelder, dus lekker wokken in de badkamer 😀, maar Duitsers met een fles wijn verwacht ik hier niet.;;Garmin Edge 520 Plus;5862375027
08/26/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Cortina cruise;48.79;947;04:55:23;02:39:22;12:06:21;Thursday;18.4;64.1;1,79;1,121;18;1,791;1,398;22;21;1;25;5;8;;Everyone;0.07;Heel laat zon op mijn landgoed (10•10), vrij koud en tent zijknat. Gelukkig is hier een pretrig ontbijt in de bar en daarna de tent gedroogd en verplaatst. Iets eerder zon denk ik en minder in het gras. Daarna naar Cortina gefietst, rondgeslenterd en eindeijk een mooie RVS mok gevonden waar ik nog twee dagen enorm veel plezier van ga hebben! Boodschappen gedaan en, omdat de voorspelde (@Ruud: ik bedoel verwachte 😊) regen niet kwam, snel terug naar de camping, ff eten, omkleden en op de fiets! Terug naar Cortina en de afslag naar Misurina genomen. Tre Croci pas ging lekker met veel minder bepakking, maar was toch iets verder dan ik me kon herinneren. Maar ging prima, volgende week op een minstens 5 kilo lichtere fiets zal wel lukken denk ik! Prachtige afdaling, helaas niet opgenomen en het rondje afgemaakt via Lago di Misurina, afslag naar Tre Cime (@Cees helaas 😎 afgesloten wegens drukte) en dan nog ff lekker naar beneden tot de afslag naar Cortina. Iets meer dan vals plat tot 1500 meter en dan de herhaling van gisteren naar de camping. Alwaar ik nu op een mooi overdekte, windbeschutte plek met de maaltijd bezig ben. Klein beetje regen, maar morgen droog voorspel 😁 ik. Plan is dan te moven!;;Garmin Edge 520 Plus;5857146207
08/25/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Cortina d'Ampezzo, camping Rocchetta;63.22;859;06:13:53;03:41:02;09:28:13;Wednesday;17.2;48.6;1,537;809;21;1,835;1,53;25;23;1;30;6;10;;Everyone;33.94;Strakblauw vanochtend bij het vertrek, na ontbijt op het dorpsplein van San Lorenzo op weg naar Dobbiaco, kilometer of 30 verderop in het dal, alwaar de afslag naar Cortina. Ook hier is de fietsroute veel op en af, en voor de helft gravel. Leuk om met ongetrainden op elektrische fietsen op te rijden. Omhoog gaan ze eerst harder, op het vlakke langzamer en bij de derde keer omhoog ook. Maar ik probeer rusrig aan te blijven doen 😊. Net na Dobbiaco een cappuccino gedronken en gezien dat ik al 550 hoogtemeters heb. Volgens de kaart komen er in ieder geval 200 bij, maar dan zou het stuk door het dal dus pittiger zijn dan het laatste stuk naar Cortina. Vanaf het Lago di Dobbiaco ontdek ik dat je niet op de weg hoeft te rijden, maar een gravelpad kan volgen. Tot aan de provinciegrens tussen Bolzano-Alto Adige en Veneto doe ik dat, slechts een paar kilometer zijn wat steiler. Die grens blijkt tevens het hoogste punt te zIjn en vanaf daar daal ik over de weg af naar Cortina. Door Cortina loopt het E1 fietspad, niet geweldig onderhouden en te delen met wandelaars, maar wel een hele leuke route. Voor de camping tenslotte nog een eindje naar beneden, naar de rivier. Mooie plek gekregen, direct alle kleding in de wasmachine en droger, gedouched in pre-experience gebouw, onder begeleiding van Pink Floyd 'how I wish, how I wish you were here' en van plan hier een paar dagen te blijven😊.;;Garmin Edge 520 Plus;5852063015
08/24/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, toerist in Brunico;11.32;46;05:43:11;00:50:32;09:49:43;Tuesday;13.4;26.3;846;808;19;238;201;1;1;1;22;2;5;;Everyone;0.48;Mooie vlakke route langs het water limea recta naar Brunico. Eerst een cappuccino en dan wat rondfietsen. Brunico bijkt één grote buitensportwinkel, dus een fatsoenlijk t-shirt om alle opgetrokken wenkbrauwen enigszins te laten zakken liet zich vinden. En 'Since 1862' zit er opgeteld maar 1 naast 😁! In het restaurant kreeg ik dan ook gelijk de menukaart in het Engels. Bij de sportwinkel ook nog XXL merinowollen handschoenen gekocht, omdat het volgens Gertjan volgende week heel koud wordt in Arabba. Be prepared!;;Garmin Edge 520 Plus;5845973744
08/23/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, San Lorenzo di Sebato, camping Wildberg;126.19;1,5;08:53:28;06:27:46;08:30:04;Monday;19.5;64.1;1,37;566;21;3,907;3,15;34;34;1;31;8;7;;Everyone;64.81;Idee was Bolzano en daar een paar dagen blijven, maar hoewel het vlot ging in het begin, is de fietsroute te toeristisch om op te schieten. Je schommelt van de ene kant van het dal naar de andere met nog aardig wat klimmetjes ondertussen. In Brixen wat op campings gezocht, en deze kwam positief uit de bus, veel zijn er trouwens niet. Dus nu toch alweer bij Brunico. Morgen ga ik daar rondkijken en de rest van de route bedenken. Nog een lusje of extra rustdagen? Aan de telefoon had het vriendelijke meisje de indruk gewekt dat het een gezellig kleine camping was, maar deze camping is GROOT, hutje mutje vol en het sanitair slaat werkelijk alles. Er schijnt een nieuwe trend te zijn dat ook het toiletbezoek een experience moet zijn. Grote ruimtes, stortdouches, sauna's, alles steriel, geen nok met spinnenwebben meer te bekennen. Met als uitzondering de kippencamping 😀. Het weer was overigens prachtig vandaag!;;Garmin Edge 520 Plus;5840599849
08/22/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Innsbruck;66.31;182;05:44:30;03:10:49;09:29:58;Sunday;20.9;40.0;747;576;15;1,666;1,281;26;26;1;28;11;8;;Everyone;50.08;Vanwege slechtweervoorspelling appartement in Innsbruck vandaag, gisteravond met veel moeite geboekt (booking.com ellende). Campingbaas die gisteren vol zat had al gezegd dat er vandaag plek zat zou zijn, en vanochtend idd een ware uittocht. Tussen de buitjes door ingepakt en in de regen naar Bäckerei Ruetz gefiets, flink ontbeten en de Tiroler Tagezeitung gelezen. Om 11 uur was het droog en dat bleef het, in Innsbruck zelfs zonnig om drie uur! Leuke rit, in het begin spektakel in en langs de Inn, aan het eind gaat het langs se snelweg en daartussen langs het spoor. Route af en toe kwijr, maar he, hoe moeilijk is het 😎. Superluxe hier, gloednieuw, aan de Inn met uitzicht op de Olympische skischans (1968?). Na boodschappen doen en extra, bagageloos, ritje door de stad begon het om zes uur gelukkig alsnog te onweren. Voor de sfeer, en om te drogen, de tent in de kamer opgezet. Mogelijk ga ik toch in het bed slapen vannacht 😊.;;Garmin Edge 520 Plus;5835845306
08/21/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Imst, campingPark imst-west;86.76;1,209;08:33:30;05:01:15;07:49:20;Saturday;17.3;78.8;1,89;777;22;2,723;2,149;17;17;1;30;10;8;;Everyone;40.44;Vanwege de naam eerst de andere camping geprobeerd, maar die was vol. Wel waren ze zo aardig om even bij deze camping te vragen of er plek was. Ook hier bijzonder vriendelijk, handige tips voor als morgen de winkels dicht zijn en het Inn fietspad naar Landeck aangewezen op de kaart. Geen idee dat de Inn hier ook stroomt, lekkere voorbereiding! Checkte dus even hoe dat dan zit tov Innsbruck en dat blijkt hier 60 km, downhill (😂), verderop te liggen. Mooi-weer dag, goede lunch, maar met moeite naar binnen gewerkt en de derde gang afgeslagen. Kan allemaal in Oostenrijk. En toen, daar was ie dan, de eerste echte klim in de Alpen: Hahntennjoch, idee van Google, ik wist niet dat deze verbinding bestond. En een BIG (nr 606) ook nog! Steile stukken zwaar maar te doen. Heel veel motoren. Afdaling naar Imst is fantastisch, maar daarvoor heb je een andere fiets nodig. Als klim is die kant ook pittiger, maar niet pitoresk, dus geen klus voor Anton Pieck, om Drs P. weer eens binnen te smokkelen 😊 (Imst is een mooie stad, maar net iets te ver weg!).;;Garmin Edge 520 Plus;5829946738
08/20/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Schwangau, camping Bannwaldsee;83.75;795;07:09:08;04:36:27;08:44:28;Friday;18.2;53.3;884;592;22;2,3;1,875;20;20;1;28;7;5;;Everyone;51.18;Van de kleine kippencamping naar een hele grote kampeeronderneming. Mooi plekje met uitzicht op de see. En als ik me omdraai dan zie ik de bergen! Had eigenlijk al in Oostenrijk willen zijn, maar de camping in Reute kon mij er niet bij hebben 😋. Nog flink warm geworden vanaf de middag, hier op de camping was het zo warm dat ik ben gaan zwemmen, nou ja deels 😅. Flink steile stukjes gehad na Schonau, en heel mooi door de bergweitjes gereden.;;Garmin Edge 520 Plus;5823806131
08/19/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Landsberg am Lech, camping an der Holzgasse 6;74.42;247;08:56:43;03:54:16;08:52:18;Thursday;19.1;45.7;640;457;20;1,77;1,537;22;22;1;28;6;8;;Everyone;43.96;Vanochtend vroeg gewekt door herrie van zwaar verkeer, de bazin had dat al aangekondigd, was inbegrepen bij de 24,50 😁. Ook geen zon, toch pas om 9 uur vertrokken, weer zonder Duitser. Na Landsberg am Lech zijn er voorlopig geen campings dus dat is dan vanzelf de halteplaats. Onderweg tijd genomen om de Altstadt van Augsburg te inhaleren, wel weer indrukwekkend oud. In Friedberg bij biobakker Wolf broodje en capu genomen. Dit is een gezellig stadje. Daarna wat zitten klooien met de route, door een fietsend Duits stel, op weg van Ulm naar München, van goede tips voorzien in deze. In de Lech zijn drie stuwmeren met exact hetzelfde wegontwerp en hetzelfde uizicht, tot ik vanavond de route terug zag was ik er zeker van dat ik een rondje had gereden, maar niet dus! Wel een stukje dubbel omdat ik er in de war van raakte 😋. De gravel van vandaag langs de Lech was erg leuk. Onderweg nog bij een klein buitenzwembad een colaatje gedronken, goed voor de buikperikelen. En nu op een kippencamping met privé sanitair, want er kan er maar èèn tegelijk in, en dan even de stekker van de boiler er in doen en na een paar minuten heeft u dan heet water. Kost toch ook 20 euro, maar daarvoor maakt de haan me om 05.00 gegarandeerd wakker.;;Garmin Edge 520 Plus;5818815267
08/18/2021;Ride;Gravel bike Genesis CdA10 (2014); Rta, Mühlhausen, Lech camping;92.75;506;06:33:01;04:30:22;10:01:51;Wednesday;20.6;54.0;539;403;15;2,465;1,934;15;15;1;28;3;9;;Everyone;57.64;Miezerig begin maar fijn om weer te fietsen na de rustdag. Eerste stuk nog heuvelachtig, maar na passeren van de Donau voornamelijk vlak. Vanaf Mettingen weer op de D9 fietsroute. Vanaf daar ook weer gravel, niet perse fijn. Ook de route van Google maps naar de camping de laatste 10 kilometer was voornamelijk gravel en zelfs door een weiland. Dat algoritme heeft zelf geen fiets denk ik. Op de camping verscheen na een uurrje dezelfde Duitse vakantiefietser als gisteravond op de vorige camping. Toch ook nog vertrokken ondanks de miezer. Gezellig, en verbazend te zien wat hij meesleept: een kaart (he, mag ik die even bekijken? 😊), een tweepersoonstent, een eenpersoonstenthamer, een flesje sojasaus, een stalen veldfles en meer op een stalen fiets. Wel veel comfortabeler dan ik heb.😋;;Garmin Edge 520 Plus;5814074376
08/16/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Riesburg, campingplatz Ringlesmühle;103.10;878;08:26:14;05:15:14;08:39:58;Monday;19.6;55.1;533;364;19;2,897;2,199;19;19;1;31;8;8;;Everyone;60.58;(Foto's toegevoegd) Rit opgenomen tot het kookpunt bij Pfäfflingen, dat was ergens achter een landbouwschuur, tegen half zes. Na het eten nog doorgereden tot Nördlingen, wat rondgekeken in de Altstadt en toen besloten maar eens een camping te zoeken. Die waar ik nu sta is zo prettig, dat ik morgen hier ook ben denk ik. Dus ca 15 km verder dan Strava denkt. De Romantische Strasse voor fietsers (fietswandelaars in de vertaling van de overzichtskaart) is niet dezelfde als die voor auto's. Kleinere wegen en gravelen, daardoor 500 km, tegen 460 km per auto. Ook is er een aparte wandel RS, eveneens 500 km. Laatste toeristische info: ook Dinkelsbühl heeft een Altstadt en dat Is de allerschönste van heel Duitsland. Gute Nacht!;;Garmin Edge 520 Plus;5803487271
08/15/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Rothenburg ob der Tauber;105.31;904;08:33:44;05:16:39;09:19:52;Sunday;20.0;51.5;480;166;29;2,966;2,412;26;26;1;34;4;10;;Everyone;84.76;Rothenburg klint als het Rittenburg uit Adriaan&Olivier, mogelijk nog bekend bij de oudere (mijn😊) generatie. Hier wil ik de Romantische Strasse oppikken vanaf morgen, en het is hier romantisch, vol met vakwerk, kasseien, torens en poorten. Dat laatste kwam goed uit bij het hevige onweer dat hier plaatsgreep om kwart voor zes. Goede schuilplaats en keuken tegelijk! Mooi contrast met het ontbijt dat gekoeld in de beek klaarstond vanochtend. Zie verder de foto's, Würzburg is mooi en heel fietsvriendelijk. Zo meteen eens kijken waar de tent kan staan!;;Garmin Edge 520 Plus;5797863185
08/14/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, vlakbij Lohr am Main;84.69;1,029;07:38:43;04:47:07;10:33:31;Saturday;17.7;51.5;500;164;30;2,528;1,876;11;11;1;30;4;8;;Everyone;60.19;Hele mooie dag, hele mooie route, hele mooie omgeving. Tijdje samengereden met een Duitser die naar het Gardameer onderweg was. Had het erover dat de Brenner dicht zou zijn wegens overstromingen? Veel gehuchten en dorpen zondee winkels, of alleen een bakker en die gesloten. Een grotere plaats met supermarkten is dan opeens een andere wereld. En wel zo makkelijk. Eens kijken of ik op dit weitje kan overnachten.;;Garmin Edge 520 Plus;5792276772
08/13/2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Nida Stausee, 125 km;92.03;1,319;09:52:08;05:08:47;09:20:58;Friday;17.9;63.0;879;156;27;2,898;2,347;40;40;1;36;2;5;;Everyone;79.99;Was vandaag snikheet, einde van de middag (gelukkig) een bui. Na Grosser Feldberg (BIG nr 182, 876 m) vergeten garmin aan te zetten, jammer van die hele mooie afdaling bijna helemaal naar Bad Homburg. Volgens Komoot is het 125 km naar de Camping am Nida Stausee. Die camping is overvol, niet gereserveerd, om 19.30 gearriveerd en tada: een prima plek met stoel van de buurvrouw. Ook goede douche, wasmachinewasje voor 50 cent en nu lekker pitten.😋;;Garmin Edge 520 Plus;5787519920
8-12-2021;Ride;Gravel bike Genesis CdA10 (2014); RtA, Hohe Wurzel;63.67;1,316;06:16:16;04:11:12;11:07:58;Thursday;15.2;55.1;612;74;26;2,256;1,844;23;23;1;26;6;7;;Everyone;46.60;Vanochten laat gestart, beetje uitgeslapen en aan het achterwiel zitten prutsen. Had speling en de schijf liep aan, lijkt een beetje gammel. Mooie route, wennen aan het klimmen. Komoot vond off road vandaag wel prima, morgen check ik dat even van te voren 😅. Ben nu op de Hohe Wurzel, dat is een klim van de BIG lijst (nr. 181), niet heel lastig, maar eerste km vanuit Bad Schwaalbach is gelijk heel steil. Tentje opgezet op 618 meter, vannacht naar de Perseïden kijken 😊;;Garmin Edge 520 Plus;5781704896
8-11-2021;Ride;Gravel bike Genesis CdA10 (2014); Road to Arabba, Koblenz;235.30;506;13:10:38;10:05:10;08:31:50;Wednesday;23.3;40.0;93;13;23;5,96;5,102;104;104;1;37;12;7;;Everyone;194.52;Lange rit met hindernissen (Duitse fietspaden), met name in de stedelijke gebieden. Vanaf Bonn erg mooi langs de Rijn. En Rens stond al uren op de uitkijk!;;Garmin Edge 520 Plus;5777607630
8-10-2021;Ride;Gravel bike Genesis CdA10 (2014); Road to Arabba, 's-Heerenberg;95.89;249;06:36:19;04:13:57;09:28:39;Tuesday;22.7;40.0;61;2;19;2,317;2,043;83;45;1;32;9;3;;Everyone;76.99;Rustig begin, koffiestop in Zeist en gastvrij onthaal in 's-Heerenberg 😊. In de allerlaatste klometer nog compleet doorweekt.;Yes;Garmin Edge 520 Plus;5770043005
8-4-2021;Ride;Gravel bike Genesis CdA10 (2014); Erbeskopf (816 m.);32.18;636;01:55:13;01:29:19;17:04:33;Wednesday;21.6;65.5;829;303;14;1,142;979;10;5;1;19;3;3;;Everyone;0.02;Ik kwam op de top deze Nederlandse vakantiefietser tegen. Mooie plek om te wildkamperen.;;Garmin Edge 520 Plus;5738949325
8-4-2021;Walk;; LandZeitTour Burg Baldenau;8.71;119;02:40:08;01:57:25;10:54:47;Wednesday;4.5;9.4;546;468;;696;;;;1;14;;4;;Everyone;0.01;Insmeren vandaag niet nodig, en cafe's opgedoekt, maar wel aan te bevelen deze Tour 😊.;;Strava Android App;5736953804
8-2-2021;Ride;Gravel bike Genesis CdA10 (2014); Moezel;56.67;787;02:38:43;02:29:04;14:43:55;Monday;22.8;64.4;549;145;19;1,876;1,521;16;14;1;24;;1;;Everyone;0.02;Op de terugweg even langs de camping in Heidenburg waar we vorig jaar zaten.;;Garmin Edge 520 Plus;5727378982
8-2-2021;Walk;; Naar Hunolsteiner Hof;9.36;203;03:43:39;02:15:02;10:13:01;Monday;4.2;8.3;440;275;21;276;;;;1;16;;4;;Everyone;0.03;Leek sombere dag te worden maar werd nog zonnig en warm. En Hunolsteiner Hof is gesloten op maandag en dinsdag 😋;;Garmin Edge 520 Plus;5727378505
8-1-2021;Ride;Gravel bike Genesis CdA10 (2014); Zondag, meer dan voorspeld;16.23;294;02:51:14;01:28:39;13:09:55;Sunday;11.0;36.7;536;264;18;481;384;1;;1;22;1;5;;Everyone;0.05;Nu wel een rode wouw op de foto, prachtige vogels. En weer lek 😋;;Garmin Edge 520 Plus;5721582166
07/31/2021;Walk;; Ölmühlentour Morbach;5.89;285;02:19:10;01:35:26;13:50:30;Saturday;3.7;8.3;691;473;20;292;;;;1;18;;3;;Everyone;0.01;Garmin vindt wandelen met hoogteverschillen lastig, afstand moet ca 8 km zijn. Mooie route en prima weer met af en toe zon. Twee rode wouwen gespot, die zijn hier niet zeldzaam, maar niet op de foto. Wij wel 😊.;;Garmin Edge 520 Plus;5716092172
07/31/2021;Walk;; Wandeling vanaf de camping;3.03;66;00:59:09;00:44:35;09:50:57;Saturday;4.1;7.9;308;276;17;85;;;;1;;;;Yes;Only you;0.03;;;Garmin Edge 520 Plus;5714651399
07/30/2021;Ride;Gravel bike Genesis CdA10 (2014); Gravellek;23.76;281;03:33:59;01:51:08;12:26:23;Friday;12.8;31.7;745;506;22;565;470;2;2;1;20;1;3;;Everyone;0.04;Voorband is nu gevuld met de bekende Frische Kurortluft van de regio Morbach, ook hadden we vandaag enige van de überdurchschnittlich vielen Sonnenstunden 😎;;Garmin Edge 520 Plus;5711170925
07/28/2021;Walk;; Te voet;7.74;225;03:01:11;01:57:14;14:28:22;Wednesday;4.0;7.2;462;262;23;272;;;;1;15;;5;;Everyone;0.01;Vanochtend regen, vanmiddag droog en af en toe zon, prima voor een wandelavontuur vanaf de camping.;;Garmin Edge 520 Plus;5702224617
07/27/2021;Ride;Gravel bike Genesis CdA10 (2014); Net droog gehouden 😎;10.21;110;01:30:19;00:36:57;13:37:21;Tuesday;16.6;52.2;531;279;19;273;172;1;1;1;11;;3;;Everyone;6.76;Net voor de bui binnen. Nu overal koud water, in de beek, uit de lucht en onder de douche. Gezellig!;;Garmin Edge 520 Plus;5695402459
07/27/2021;Ride;Gravel bike Genesis CdA10 (2014); Zurück im Hunsrück;12.43;272;01:28:16;01:09:29;10:54:48;Tuesday;10.7;54.4;527;299;21;415;368;;;1;17;1;4;;Everyone;6.76;Maar nu op een afgelegen beekdal camping, basic en drassig. Eerste dag mooi, vanochtend ook, dus stukje fietsen naar de winkel;;Garmin Edge 520 Plus;5694610091
07/24/2021;Ride;Racefiets Wilier Mortirolo (2009); Rondje met Luttik;35.06;61;01:07:57;01:07:57;10:37:49;Saturday;31.0;43.6;13;-2;18;1,144;612;32;12;2;19;;;;Everyone;0.85;;;Garmin Edge 520 Plus;5678064995
07/22/2021;Ride;Racefiets Wilier Mortirolo (2009); Muurtje van Ermelo;61.96;86;02:13:40;02:09:39;17:20:39;Thursday;28.7;41.4;34;1;23;1,857;1,032;54;40;1;27;;1;;Everyone;41.40;Na twee dagen klussen twee uur fietsen, ook wel prettig 😊;;Garmin Edge 520 Plus;5670019633
07/18/2021;Ride;Gravel bike Genesis CdA10 (2014); Testritje vakantie set-up;25.66;41;02:07:24;01:28:02;09:08:00;Sunday;17.5;28.4;12;-1;21;530;436;20;;1;;;;Yes;Only you;0.01;;;Garmin Edge 520 Plus;5670019395
07/17/2021;Ride;Racefiets Wilier Mortirolo (2009); Avondrit;59.87;81;02:21:30;02:13:33;19:25:27;Saturday;26.9;36.7;36;1;22;1,557;856;29;5;1;22;;1;;Everyone;0.92;;;Garmin Edge 520 Plus;5643584015
07/16/2021;Ride;Hybride Red Bull Multisport (2006); 885/2117 terug;65.03;104;02:50:08;02:39:33;14:13:55;Friday;24.5;34.9;18;-2;20;1,661;853;44;33;1;19;3;1;;Everyone;45.29;;;Garmin Edge 520 Plus;5636966102
07/16/2021;Ride;Hybride Red Bull Multisport (2006); 885/2117 heen;47.54;38;01:52:36;01:48:34;05:56:05;Friday;26.3;40.7;13;-11;12;1,243;639;62;17;1;15;2;1;;Everyone;36.21;Laatste keer voorlopig, vanaf morgen vakantie 😊;;Garmin Edge 520 Plus;5634873050
7-10-2021;Ride;Racefiets Wilier Mortirolo (2009); BRM200 Heerlen - Mariawald;202.63;2,364;11:25:03;08:51:26;09:24:44;Saturday;22.9;63.7;515;98;19;6,101;3,252;99;39;2;27;3;7;;Everyone;0.09;Met Gertjan. Goed weer tot 35 km voor het eind. Daarna gigantische hoosbuien. En de fameuze erwtensoep van het klooster van Mariawald soldaat gemaakt😊;;Garmin Edge 520 Plus;5607335548
7-7-2021;Velomobile;QuestXS 174; 884/2116 terug;47.76;50;01:26:19;01:19:20;16:01:02;Wednesday;36.1;53.6;15;0;23;1,462;1,181;7;;1;17;;1;;Everyone;36.39;;;Garmin Edge 520 Plus;5589974318
7-7-2021;Velomobile;QuestXS 174; 884/2116 heen;48.78;41;01:17:55;01:17:55;05:40:10;Wednesday;37.6;52.2;14;-2;15;1,517;1,201;6;2;1;19;;1;;Everyone;36.28;;;Garmin Edge 520 Plus;5587670413
7-3-2021;Ride;Racefiets Wilier Mortirolo (2009); Herstelrit;79.54;153;03:26:27;03:02:10;11:57:05;Saturday;26.2;42.8;28;-1;21;2,141;1,089;52;19;1;22;1;1;;Everyone;0.81;;;Garmin Edge 520 Plus;5568482275
7-2-2021;Velomobile;QuestXS 174; 883/2115 terug;47.78;63;01:23:01;01:15:42;17:14:57;Friday;37.9;52.6;19;0;22;1,452;1,241;5;1;1;16;2;;;Everyone;36.34;;;Garmin Edge 520 Plus;5564019757
7-2-2021;Velomobile;QuestXS 174; 883/2115 heen;49.12;44;01:23:54;01:19:50;05:26:31;Friday;36.9;53.6;14;-4;15;1,521;1,21;6;;1;19;4;1;;Everyone;36.06;;;Garmin Edge 520 Plus;5561505727
06/29/2021;Ride;Hybride Red Bull Multisport (2006); 882/2114 terug;46.77;57;01:39:51;01:29:58;17:49:43;Tuesday;31.2;40.0;22;0;13;1,505;830;67;1;1;16;2;1;;Everyone;37.39;;;Garmin Edge 520 Plus;5549244872
06/29/2021;Ride;Hybride Red Bull Multisport (2006); 882/2114 heen;46.24;42;01:41:50;01:41:16;05:15:03;Tuesday;27.4;35.3;11;-3;14;1,224;658;43;;1;15;;1;;Everyone;36.17;;;Garmin Edge 520 Plus;5545973562
06/28/2021;Ride;Single speed Schindelhauer Viktor (2018); Ochtendrit;71.79;78;02:28:42;02:23:19;09:43:44;Monday;30.1;42.5;19;-1;20;2,229;1,179;60;25;1;19;;1;;Everyone;3.84;;;Garmin Edge 520 Plus;5541985518
06/27/2021;Ride;Single speed Schindelhauer Viktor (2018); Matje de Bretagne 😀💪💪;50.04;85;01:42:16;01:38:56;14:07:50;Sunday;30.3;46.4;50;2;25;1,489;869;57;17;1;18;;1;;Everyone;2.06;;;Garmin Edge 520 Plus;5538064868
06/27/2021;Ride;Hybride Red Bull Multisport (2006); Ochtendrit;27.35;41;02:15:48;01:35:46;10:32:50;Sunday;17.1;29.5;14;-1;25;524;247;23;1;1;;;;Yes;Only you;0.01;;;Garmin Edge 520 Plus;5538064581
06/26/2021;Ride;Single speed Schindelhauer Viktor (2018); Kraantje Lek;39.56;33;01:50:48;01:33:58;12:20:51;Saturday;25.3;35.6;13;0;24;1,031;490;30;2;1;17;;1;;Everyone;0.81;;;Garmin Edge 520 Plus;5531723972
06/23/2021;Ride;Hybride Red Bull Multisport (2006); 881/2113 terug;57.38;49;02:06:47;02:04:19;17:55:33;Wednesday;27.7;39.6;18;-1;13;1,603;903;60;4;1;20;;;;Everyone;36.94;;;Garmin Edge 520 Plus;5517836398
06/23/2021;Ride;Hybride Red Bull Multisport (2006); 881/2113 heen;49.30;45;01:48:06;01:44:51;06:08:53;Wednesday;28.2;62.6;-22;-41;9;1,283;686;52;1;1;19;;;;Everyone;36.46;;;Garmin Edge 520 Plus;5514783427
